path,action,target,when,behavior
docs/contracts/customer-visible-safety-gate.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/customer-visible-safety-gate.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/decision-record.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/decision-record.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/final-readiness.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/final-readiness.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/final-version-lineage.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/final-version-lineage.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/generation-result.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/generation-result.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/generation-result.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/generation-result.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/generation-task.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/generation-task.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-icon-external-acceptance.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-icon-external-acceptance.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-manifest-legacy.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-manifest-legacy.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-manifest.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-manifest.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-manifest.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-manifest.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-provider-smoke.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-provider-smoke.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-status.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-status.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/high-density-status.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/high-density-status.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/library-status.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/library-status.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/mbb-plan.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/mbb-plan.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/mbb-runtime-seal.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/mbb-runtime-seal.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/mbb-selection-receipt.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/mbb-selection-receipt.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/mbb-user-decision-receipt.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/mbb-user-decision-receipt.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/page-package.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/page-package.v1.schema.json,WP05，legacy读入测试与文档链接更新后,legacy.py只读映射到page.v2；新作者不生成v1
docs/contracts/page-scene-legacy.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/page-scene-legacy.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/page-scene.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/page-scene.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/page-scene.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/page-scene.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/ppt-library-bridge-plan.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/ppt-library-bridge-plan.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/ppt-library-selection.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/ppt-library-selection.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/ppt-library-selection.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/ppt-library-selection.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/pptx-readback.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/pptx-readback.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/provider-host-receipt-legacy.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/provider-host-receipt-legacy.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/provider-host-receipt.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/provider-host-receipt.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/provider-runtime-receipt.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/provider-runtime-receipt.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/quality-findings.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/quality-findings.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/rc-gate-report.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/rc-gate-report.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/render-result.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/render-result.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/setup-status.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/setup-status.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/skill-handoff.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/skill-handoff.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/sourcing-plan.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/sourcing-plan.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/stage-approval.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/stage-approval.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/stage-contract.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/stage-contract.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/style-lock.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/style-lock.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/svg-to-drawingml-trace.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/svg-to-drawingml-trace.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/visual-main-review-receipt.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/visual-main-review-receipt.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/visual-metrics.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/visual-metrics.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/visual-review.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/visual-review.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/workflow-policy.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/workflow-policy.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/workflow-state.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/workflow-state.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
