id,source_ref,path,action,target,work_package,stop_new_use,delete_when,change_detail,acceptance,verification
OLD-014,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/ingest_library_results.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-015,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/schema.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-016,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/scoring.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-017,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-018,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/aggregate.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-019,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/case.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-020,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/checkpoints.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-021,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/markdown.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-022,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/report.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-023,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/runner.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-024,2a866cf138f6359f853db35e0a926ad79391b691,scripts/benchmark/scoring.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-025,2a866cf138f6359f853db35e0a926ad79391b691,scripts/build/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-026,2a866cf138f6359f853db35e0a926ad79391b691,scripts/build/manifest.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-027,2a866cf138f6359f853db35e0a926ad79391b691,scripts/capabilities/ppt_deck_pro_max.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-028,2a866cf138f6359f853db35e0a926ad79391b691,scripts/connectors/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-029,2a866cf138f6359f853db35e0a926ad79391b691,scripts/connectors/import_contract.py,EXTRACT_THEN_DELETE,src/deck_master/sources.py,WP01,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,仅提取来源标识与传入资料接口；不引入连接器平台,AC-C01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-030,2a866cf138f6359f853db35e0a926ad79391b691,scripts/context_intake/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-031,2a866cf138f6359f853db35e0a926ad79391b691,scripts/context_intake/context_pack.py,EXTRACT_THEN_DELETE,src/deck_master/legacy.py;src/deck_master/sources.py,WP04,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,读取旧上下文与来源映射；不导入旧生产判定,AC-L01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-032,2a866cf138f6359f853db35e0a926ad79391b691,scripts/context_intake/local_sources.py,EXTRACT_THEN_DELETE,src/deck_master/sources.py,WP01,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,提取文件定位/散列/文本读取；删除截断摘要代替内容理解的用法,AC-C01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-033,2a866cf138f6359f853db35e0a926ad79391b691,scripts/conversation/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-034,2a866cf138f6359f853db35e0a926ad79391b691,scripts/conversation/brief_compiler.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-035,2a866cf138f6359f853db35e0a926ad79391b691,scripts/conversation/session_builder.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-002,2a866cf138f6359f853db35e0a926ad79391b691,scripts/deck_master.py,REPLACE,src/deck_master/cli.py,WP04,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,保留原路径为一次版本兼容薄转发；只转发有明确等价的命令，其余明确退役，不运行旧OS,AC-I04,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-036,2a866cf138f6359f853db35e0a926ad79391b691,scripts/delivery/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-037,2a866cf138f6359f853db35e0a926ad79391b691,scripts/delivery/outcome.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-038,2a866cf138f6359f853db35e0a926ad79391b691,scripts/delivery/validate.py,EXTRACT_THEN_DELETE,src/deck_master/export.py,WP03,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,保留实际页集合/文件校验；导出分审阅稿与正式交付，不依赖旧preview,AC-R09,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-004,2a866cf138f6359f853db35e0a926ad79391b691,scripts/demo.sh,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-039,2a866cf138f6359f853db35e0a926ad79391b691,scripts/feedback/library_feedback.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-040,2a866cf138f6359f853db35e0a926ad79391b691,scripts/feedback/record_deal.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-041,2a866cf138f6359f853db35e0a926ad79391b691,scripts/generation/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-042,2a866cf138f6359f853db35e0a926ad79391b691,scripts/generation/dispatch.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-043,2a866cf138f6359f853db35e0a926ad79391b691,scripts/generation/handback.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-044,2a866cf138f6359f853db35e0a926ad79391b691,scripts/generation/session.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-045,2a866cf138f6359f853db35e0a926ad79391b691,scripts/generation/task_builder.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-046,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-047,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/blueprint.py,EXTRACT_THEN_DELETE,src/deck_master/production.py,WP02,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,重建生成输入与来源记录；保留实际原图，删除时间/文件名/签章代替真实来源,AC-B02,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-048,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/blueprint_content_review.py,EXTRACT_THEN_DELETE,src/deck_master/production.py;src/deck_master/review.py,WP02,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,保留阅图/裁切工具；归档不封顶；真正编辑新增文案，不默认空finding通过,AC-B03,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-049,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/capability.py,EXTRACT_THEN_DELETE,src/deck_master/doctor.py,WP04,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,按实际步骤报告依赖；不把装好工具叫专业ready,AC-I02,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-050,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/content.py,EXTRACT_THEN_DELETE,src/deck_master/content.py;src/deck_master/production.py,WP02,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,提取显式可见内容读取；设计/副标题/脚注/标签完整投影；旧MBB/词元证据/密度分退出,AC-B01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-051,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/contracts.py,EXTRACT_THEN_DELETE,src/deck_master/models.py;src/deck_master/store.py,WP01,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,只提取路径安全与校验辅助；不导入58个旧合同及整个engine,AC-I01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-052,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/engine.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-053,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/icon_external_acceptance.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-054,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/integrity.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-055,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/main_review.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-056,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/migration.py,EXTRACT_THEN_DELETE,src/deck_master/legacy.py,WP04,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,识别旧格式，不在新核心运行旧MBB迁移审批,AC-L01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-057,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/pptx.py,EXTRACT_THEN_DELETE,src/deck_master/compiler/drawingml.py;src/deck_master/compiler/text.py;src/deck_master/compiler/readback.py,WP02,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,拆出DrawingML、文字布局和实际读取；不带入审批与自证trace裁决,AC-K01,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-058,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/provider_result.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-059,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/provider_smoke.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-060,2a866cf138f6359f853db35e0a926ad79391b691,scripts/high_density/review_policy.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
