acceptance_id,name,expected_behavior,test,task_id,evidence_kind,status
AC-S09,取消竞态,cancel先赢则晚到不写；accept先赢则cancel不删除成品,tests/rebuild/test_tasks.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S10,恢复/重定位,恢复新revision不改旧快照；移动项目refs可读，源映射检查hash；design_context相对对象/字体实际指纹恢复；不恢复已消费调用额度,tests/rebuild/test_store_transactions.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S11,超过三次归档,4次及更多原件均保留独立ID；无attempt3覆盖,tests/rebuild/test_tasks.py,T13,拟自动化测试；尚未实现执行,planned_not_executed
AC-S12,预算与进展,并行Host仅一个取得最后名额；begin/settle幂等；已发失败计消耗，未知占额暂停新外部调用，本地修正继续；取消/重试/restore不清零；明确仅约束产品协议调用,tests/rebuild/test_tasks.py,T13,拟自动化测试；尚未实现执行,planned_not_executed
AC-R01,实际成品检查,内容/隐藏项/XML/页集合按当前产物检查，工具共享解析但检查意义分开,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R02,未评估不是高分,没有执行对应检查时not_evaluated，无4/5默认专业分,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R03,读写判定一致,同一发现和处理，submit/load/UI/export一致；不存在两套if,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R04,像素差异分流,正常抗锯齿、故意删节点、真实字体/圆角丢失三类区分；不两票表决,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R05,独立性诚实,同一Host两名称不能independence_confirmed；实际执行ref可追溯,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R06,返修真完成,新Review replaces旧失败，固定finding_id，subjects新产物且有实际复查观察/证据；只改fixed/旧产物/过期证据拒绝；旧记录不改,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R07,真实泄漏与业务词,正常缩略图/左屏保留，真正内部字段/客户敏感信息被识别,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-R08,品牌按任务,没有品牌库不阻断；已给VI要求实际进入设计和检查,tests/rebuild/test_production.py,T06,拟自动化测试；尚未实现执行,planned_not_executed
AC-R09,导出用途,review可看失败稿且标明；delivery拒未解决实质问题，不假人类通过,tests/rebuild/test_export.py,T15,拟自动化测试；尚未实现执行,planned_not_executed
AC-R10,历史报告,依赖变化的旧pass显示历史/过期，不能覆盖当前fail,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-U01,真实页数,无preview_manifest也显示Document真实页，不出现可交付+0页+初始化问卷,tests/rebuild/test_workbench_e2e.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-U02,当前版本统一,CLI/UI/continue/export读同一revision与检查，修改后一起更新,tests/rebuild/test_web.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-U03,本地服务,自然语言主Skill首次正文接收后自动view --open；有效服务/URL复用；无浏览器返回真实本地地址，服务失败为null+原因；不让用户补命令,tests/rebuild/test_web.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-U04,四视图,原文/蓝图/SVG/PPT显示真实文件和版本，问题能跳转对象/区域,tests/rebuild/test_workbench_e2e.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-U05,无Host不假运行,UI提交反馈后awaiting_host，实际start/accept才更新执行与成品,tests/rebuild/test_workbench_e2e.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-U06,写接口安全,同源token/路径白名单/XSS处理；只读浏览不要求团队账号,tests/rebuild/test_web.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-U07,可用布局,1280/1440下导航、比较、反馈可用，键盘可操作，状态不只颜色,tests/rebuild/test_workbench_e2e.py,T14,拟自动化测试；尚未实现执行,planned_not_executed
AC-I01,包依赖边界,新src不import旧命名空间；compiler不反向依赖业务审批,tests/rebuild/test_package_boundary.py,T16,拟自动化测试；尚未实现执行,planned_not_executed
AC-I02,实际doctor,解释器、模块路径、字体、renderer按步报；不把安装就绪当内容专业,tests/rebuild/test_install.py,T16,拟自动化测试；尚未实现执行,planned_not_executed
AC-I03,安装回滚,release先测后原子激活；失败保留current，回滚不让旧代码写未知新格式,tests/rebuild/test_install.py,T16,拟自动化测试；尚未实现执行,planned_not_executed
AC-I04,唯一入口,根Skill/CLI/API/doc/installer指同一路；旧命令明确映射或退役,tests/rebuild/test_cli.py,T17,拟自动化测试；尚未实现执行,planned_not_executed
AC-I05,无外部绑定,隔离HOME无PPTMaster/Library配置和缓存仍完整运行,tests/rebuild/test_install.py,T20,拟自动化测试；尚未实现执行,planned_not_executed
AC-I06,资源完整,wheel与sdist/pip install路径包含方法/schema/static；不借checkout补文件,tests/rebuild/test_install.py,T20,拟自动化测试；尚未实现执行,planned_not_executed
AC-I07,Skill不误删,只替换安装器拥有且未改的旧资源；同名第三方Skill不动,tests/rebuild/test_install.py,T16,拟自动化测试；尚未实现执行,planned_not_executed
AC-I08,许可证与资料,source归属保留；release不包含客户run/密钥/外带字体/历史敏感资料,tests/rebuild/test_install.py,T19,拟自动化测试；尚未实现执行,planned_not_executed
AC-L01,已知旧格式,v1/HD/PPT/SVG来源可读导入新副本；未知字段明确需要规范化,tests/rebuild/test_legacy.py,T18,拟自动化测试；尚未实现执行,planned_not_executed
AC-L02,原run不写,import前后原文件hash一致，不执行旧.py/.sh，不就地初始化,tests/rebuild/test_legacy.py,T18,拟自动化测试；尚未实现执行,planned_not_executed
AC-L03,旧pass不继承,原completed/reviewer字符串不变新专业通过，明确legacy未验证,tests/rebuild/test_legacy.py,T18,拟自动化测试；尚未实现执行,planned_not_executed
AC-L04,移动与缺源,缺原文original_sha256=null/缺省可导入；全零假hash拒绝；extract/媒体真实hash保留可看；未知原hash补文件不追认为旧原文,tests/rebuild/test_legacy.py,T18,拟自动化测试；尚未实现执行,planned_not_executed
AC-L05,退役引用,旧文件/命令/Skill/合同不在新发行或默认调用，真实引用检查无残留,tests/rebuild/test_package_boundary.py,T24,拟自动化测试；尚未实现执行,planned_not_executed
AC-L06,旧测试取舍,可靠性/转换断言有新对应；删除错误门禁断言不靠skip装绿,tests/rebuild/test_package_boundary.py,T24,拟自动化测试；尚未实现执行,planned_not_executed
AC-V01,D1/D2公平对照,同源同模型条件，A/B/C开发结果分开，第一系统完整稿留存,manual_protocol,T21,实际人类/Host运行记录,planned_not_executed
AC-V02,P1提前迁移,主链刚可用就运行陌生业务材料，用于改方法后归开发,manual_protocol,T10,实际人类/Host运行记录,planned_not_executed
AC-V03,H1/H2未见,冻结后A/C，归因争议补B；改方法后样例归回归，不叫泛化完成,manual_protocol,T22,实际人类/Host运行记录,planned_not_executed
AC-V04,人类专业阅稿,适合经验的人类判断是否需要重建主线；模型一致不替代,human_content_review,T23,实际人类/Host运行记录,planned_not_executed
AC-V05,最终安装任务,用最终候选实际安装从资料出稿/工作台/修改/导出，不调用repo补丁,installed_host_flow,T25,实际人类/Host运行记录,planned_not_executed
AC-V06,诚实交付,未验证/失败如实记录，不以对象/测试数量/默认分叫专业通过,manual_protocol,T25,实际人类/Host运行记录,planned_not_executed
AC-L07,建立退役清单,T01只冻结逐路径处置/引用基线与保留项；此时不要求AC-L05归零，后者由T24完成,tests/rebuild/test_package_boundary.py,T01,拟自动化测试；尚未实现执行,planned_not_executed
AC-K14,画布与设计权威,同一Document的4:3/指定物理尺寸、style_ref、字体和Logo被prompt/编译/UI一致采用；无隐藏16:9默认,tests/rebuild/test_compiler_geometry.py,T10,拟自动化测试；尚未实现执行,planned_not_executed
AC-K15,资产字体重定位,移动项目后Logo/icon从对象Ref读取；系统字体实际hash变化报告并重检，缺字体不阻旧媒体查看；不打包字体到发行,tests/rebuild/test_sources.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-K16,编辑能力诚实,表格/图表输出声明editable_shapes_and_text；无原生chart数据模型时UI/API/导出不得声称编辑数据；旧文件未知,tests/rebuild/test_service_flow.py,T15,拟自动化测试；尚未实现执行,planned_not_executed
AC-S13,只改有效样式,默认style改动仅影响依赖它的页；独立覆盖页与未用style/asset不重生；同asset_id换字节使相关页失效,tests/rebuild/test_service_flow.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-V07,最早真实纵向切片,T03全格式/T09全特性尚未完成也可T10.min真实制作+只读四视图+T12.min单页改；实际阅图必做，不能宣称全产品完成,manual_protocol,T10,实际人类/Host运行记录,planned_not_executed
AC-S14,临时结果完整往返,compose/blueprint/reconstruct/review/repair信封kind/files/refs一致；真实文件先存再原子采用；重复幂等、旧输入/路径逃逸拒绝,tests/rebuild/test_tasks.py,T04,拟自动化测试；尚未实现执行,planned_not_executed
