id,target,action,purpose,implementation,work_package,test,status
NEW-064,tests/rebuild/test_text.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-065,tests/rebuild/test_view.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-066,tests/rebuild/test_web.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-067,tests/rebuild/test_workbench_e2e.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-068,tests/rebuild/conftest.py,NEW,测试隔离,合成project、独立HOME、工具缺失/故障注入fixture；不读客户目录,WP01,—,拟新建，尚未实现；需要 Codex 核验
NEW-069,tests/rebuild/fixtures/content_pair/,NEW,D1/D2公开合成或脱敏材料与任务；不得含H1/H2答案,D1/D2公开合成或脱敏材料与任务；不得含H1/H2答案,WP01,—,拟新建，尚未实现；需要 Codex 核验
NEW-070,tests/rebuild/fixtures/compiler/,NEW,线/圆/文字/画笔/表格原始SVG输入与独立数值期待,线/圆/文字/画笔/表格原始SVG输入与独立数值期待,WP02,—,拟新建，尚未实现；需要 Codex 核验
NEW-071,tests/rebuild/fixtures/legacy/,NEW,已知v1/HD合成旧run；原件不写/未知字段/旧pass反例,已知v1/HD合成旧run；原件不写/未知字段/旧pass反例,WP04,—,拟新建，尚未实现；需要 Codex 核验
NEW-072,tests/rebuild/fixtures/review/,NEW,正常还原/故意删减/合理渲染差异；不用当前结果反造预期,正常还原/故意删减/合理渲染差异；不用当前结果反造预期,WP03,—,拟新建，尚未实现；需要 Codex 核验
NEW-073,docs/specs/deck-master-rebuild-v1/,NEW,本包落地目录；活动基线，历史规范不自动继承,本包落地目录；活动基线，历史规范不自动继承,WP01,—,拟新建，尚未实现；需要 Codex 核验
NEW-074,docs/archive/pre-rebuild/README.md,NEW,旧源版本/旧合同/文档历史索引及退出默认说明,旧源版本/旧合同/文档历史索引及退出默认说明,WP05,—,拟新建，尚未实现；需要 Codex 核验
NEW-075,docs/migration-to-rebuilt-core.md,NEW,用户旧run读取、导入、安装回退的具体指引,用户旧run读取、导入、安装回退的具体指引,WP04,—,拟新建，尚未实现；需要 Codex 核验
