path,action,detail,work_package,status,path_basis
.gitignore,ADJUST,排除真实run/客户资料/下载字体/局部安装与渲染缓存,WP01,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
docs/specs/README.md,REWRITE,本包为活动基线，旧规范明确被替代,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/quick-start.md,REWRITE,唯一正常入口例子与真实待Host状态,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/user-guide.md,REWRITE,来源/四视图/局部修改/导出区别,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/agent-guide.md,REWRITE,Host具体执行与恢复，不重复用户问卷,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/agent-recovery-playbook.md,REWRITE,按失败原因恢复，禁止自签/替换上游基准,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/agent-task-index.md,REWRITE,指向新任务协议和本包五个工作包,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/troubleshooting.md,REWRITE,实际模块路径、字体、转换错误、待Host、版本冲突,WP04,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/known-limitations.md,REWRITE,SVG子集/平台/无人审等实际限制，不把旧绑定误列新前置,WP05,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
docs/planning/2026-09-15-overdefense-remediation-implementation.md,ADD_CORRECTION,加显著更正链接保留历史值，撤回被事故否定的验收解释；不重写原始日志,WP01,拟调整；实际修改需要 Codex 核验,目标活动文档路径：存在则改、缺失则新建；需要Codex核验
LICENSE,KEEP,保留原许可证；提取第三方代码合规核对,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
NOTICE,ADJUST_IF_EXTRACTION_REQUIRES,保留归属并补跨分支/第三方实际来源；不要删除署名,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
THIRD_PARTY_NOTICES.md,ADJUST,记录实际保留组件/许可证；不把字体文件打入文档包,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
CODE_OF_CONDUCT.md,KEEP,不属于本轮功能重构,—,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.github/dependabot.yml,ADJUST_IF_PACKAGING_CHANGES,按实际依赖范围维护,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.github/ISSUE_TEMPLATE/bug_report.md,ADJUST,增加安装版本和步骤/输入匿名说明,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.github/ISSUE_TEMPLATE/feature_request.md,KEEP,不扩大本轮功能,—,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
